@RELATION admission_stats

@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0}

@DATA
Female,300.0,200000.0,530.0,340.0,510.0,1380.0,3.82,8.97391304348,9.24347826087,8.15652173913,7.0,English,3.6,40.0,35.0,1.5
Male,0.0,213000.0,560.0,650.0,700.0,1910.0,3.59,24.0,28.0,27.0,9.0,EnglishandAnother,3.22,42.0,78.0,1.5
Male,0.0,180000.0,520.0,560.0,400.0,1480.0,3.59,8.97391304348,9.24347826087,8.15652173913,9.0,English,3.5,37.0,47.0,1.5
Male,300.0,22703.0,510.0,530.0,550.0,1590.0,3.8,31.0,26.0,21.0,8.0,EnglishandAnother,3.7,35.0,38.5,1.5
Male,300.0,145000.0,434.956521739,447.130434783,424.0,1306.08695652,3.6,14.0,21.0,21.0,3.0,English,3.5,27.0,27.0,1.5
Male,300.0,25046.0,434.956521739,447.130434783,424.0,1306.08695652,3.72,22.0,27.0,16.0,8.0,English,3.36,42.0,50.0,1.5
Male,300.0,180000.0,540.0,620.0,490.0,1650.0,3.54,30.0,30.0,24.0,10.0,EnglishandAnother,3.45,43.0,50.5,1.5
Male,0.0,75000.0,610.0,640.0,660.0,1910.0,3.12,8.97391304348,9.24347826087,8.15652173913,5.0,English,3.04,35.0,35.0,1.5
Female,300.0,24000.0,530.0,610.0,490.0,1630.0,4.04,25.0,23.0,24.0,8.0,EnglishandAnother,3.86,45.0,69.0,1.5
Female,300.0,13417.0,360.0,450.0,390.0,1200.0,3.4,12.0,18.0,17.0,3.0,EnglishandAnother,3.3,35.0,40.0,1.5
Female,0.0,85000.0,420.0,490.0,430.0,1340.0,3.51,8.97391304348,9.24347826087,8.15652173913,4.4347826087,EnglishandAnother,3.27,45.0,114.0,1.5
Male,0.0,80000.0,490.0,540.0,450.0,1480.0,3.7,8.97391304348,9.24347826087,8.15652173913,9.0,English,3.7,43.0,48.0,1.5
Male,0.0,80000.0,434.956521739,447.130434783,424.0,1306.08695652,3.24,20.0,17.0,8.15652173913,4.4347826087,English,3.24,40.0,35.0,1.5
Male,0.0,152756.0,640.0,640.0,650.0,1930.0,3.95,8.97391304348,9.24347826087,8.15652173913,8.0,English,3.55,42.0,56.0,1.5
Male,0.0,130000.0,480.0,590.0,500.0,1570.0,3.91,17.0,25.0,22.0,8.0,English,3.83,50.0,45.0,1.5
Male,0.0,120000.0,610.0,670.0,530.0,1810.0,3.12,8.97391304348,9.24347826087,8.15652173913,8.0,English,2.75,49.0,66.0,1.5
Female,0.0,78477.0,434.956521739,447.130434783,424.0,1306.08695652,3.5,8.97391304348,9.24347826087,8.15652173913,10.0,English,3.42,42.0,42.0,1.5
Female,0.0,74213.7043478,500.0,570.0,500.0,1570.0,3.04,8.97391304348,9.24347826087,8.15652173913,4.4347826087,EnglishandAnother,3.04,35.0,40.0,1.5
Male,300.0,48200.0,560.0,560.0,460.0,1580.0,3.31,8.97391304348,9.24347826087,8.15652173913,4.0,EnglishandAnother,3.09,45.0,56.0,1.5
Male,0.0,130000.0,430.0,560.0,470.0,1460.0,3.4,8.97391304348,9.24347826087,8.15652173913,10.0,Another,3.4,40.0,48.0,1.5
Female,300.0,160000.0,630.0,560.0,620.0,1810.0,3.8,8.97391304348,9.24347826087,8.15652173913,8.0,English,3.73,43.0,50.0,1.5
Male,0.0,175000.0,660.0,700.0,630.0,1990.0,3.69,8.97391304348,9.24347826087,8.15652173913,9.0,English,3.46,45.0,40.0,1.5
Male,0.0,200000.0,640.0,560.0,630.0,1830.0,3.56,8.97391304348,9.24347826087,8.15652173913,7.0,Another,3.24,40.0,35.0,1.5
Female,300.0,24000.0,530.0,550.0,510.0,1590.0,3.61,8.97391304348,9.24347826087,8.15652173913,3.0,EnglishandAnother,3.38,42.0,44.5,1.5
Female,300.0,8640.0,390.0,300.0,380.0,1070.0,3.68,8.97391304348,9.24347826087,8.15652173913,4.4347826087,English,3.68,22.0,42.0,1.5
Male,0.0,180000.0,670.0,590.0,610.0,1870.0,3.45,8.97391304348,9.24347826087,8.15652173913,5.0,English,3.45,35.0,15.0,1.5
Female,300.0,66224.0,380.0,440.0,400.0,1220.0,3.66,8.97391304348,9.24347826087,8.15652173913,7.0,English,3.58,30.0,40.0,1.5
Male,0.0,0.0,760.0,670.0,560.0,1990.0,3.85,33.0,32.0,27.0,8.0,EnglishandAnother,3.55,42.0,110.0,1.5
Male,0.0,150000.0,460.0,530.0,450.0,1440.0,3.55,27.0,22.0,22.0,5.0,English,3.35,39.0,49.0,1.5
Female,300.0,30000.0,360.0,320.0,380.0,1060.0,3.14,8.97391304348,9.24347826087,8.15652173913,3.0,Another,3.09,28.0,33.0,1.5
Female,300.0,80000.0,434.956521739,447.130434783,424.0,1306.08695652,3.9,20.0,17.0,19.0,4.0,Another,3.8,40.0,45.0,1.5
Male,300.0,14000.0,500.0,500.0,420.0,1420.0,3.95,15.0,21.0,19.0,4.0,Another,3.7,49.0,39.0,1.5
Male,300.0,32000.0,310.0,320.0,400.0,1030.0,3.65,14.0,14.0,11.0,2.0,Another,3.45,37.0,37.0,1.5
Female,0.0,35000.0,630.0,490.0,680.0,1800.0,3.61,8.97391304348,9.24347826087,8.15652173913,10.0,Another,3.3,35.0,81.5,1.5
Male,300.0,57751.0,380.0,610.0,350.0,1340.0,3.86,8.97391304348,9.24347826087,8.15652173913,3.0,Another,3.73,41.0,68.0,1.5
Female,300.0,24000.0,434.956521739,447.130434783,424.0,1306.08695652,3.55,16.0,16.0,15.0,9.0,Another,3.55,35.0,40.0,1.5
Female,300.0,112000.0,434.956521739,447.130434783,424.0,1306.08695652,3.95,8.97391304348,9.24347826087,8.15652173913,2.0,Another,3.62,40.0,48.0,1.5
Male,300.0,72000.0,440.0,430.0,460.0,1330.0,3.41,8.97391304348,9.24347826087,8.15652173913,4.4347826087,EnglishandAnother,3.24,35.0,64.0,1.5
Male,0.0,150000.0,680.0,550.0,620.0,1850.0,3.5,8.97391304348,9.24347826087,8.15652173913,4.4347826087,EnglishandAnother,3.35,40.0,45.0,1.5
Female,0.0,60000.0,570.0,550.0,620.0,1740.0,3.39,25.0,19.0,28.0,5.0,English,3.04,45.0,46.0,1.5
Female,300.0,13883.0,430.0,520.0,490.0,1440.0,3.77,24.0,22.0,18.0,4.0,English,3.4,45.0,44.5,1.5
Male,300.0,112000.0,550.0,650.0,480.0,1680.0,3.4,8.97391304348,9.24347826087,8.15652173913,7.0,EnglishandAnother,3.22,32.0,52.0,1.5
Male,300.0,38000.0,510.0,660.0,540.0,1710.0,3.3,24.0,28.0,19.0,3.0,EnglishandAnother,3.1,40.0,52.0,1.5
Female,300.0,38.0,450.0,380.0,540.0,1370.0,3.53,24.0,15.0,24.0,5.0,Another,3.3,47.0,58.0,1.5
Female,0.0,200000.0,434.956521739,447.130434783,424.0,1306.08695652,3.61,19.0,26.0,21.0,4.4347826087,Another,3.38,30.0,38.0,1.5
Male,0.0,350000.0,580.0,650.0,530.0,1760.0,3.66,8.97391304348,9.24347826087,8.15652173913,4.4347826087,English,3.4,40.0,51.0,1.5
Male,300.0,30000.0,570.0,560.0,490.0,1620.0,3.42,8.97391304348,9.24347826087,8.15652173913,10.0,EnglishandAnother,3.09,45.0,53.5,1.5
