@relation 'admission_stats-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R1-2,13'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firststyrunitsforgpa numeric
@attribute Firststyeartotcumunits numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
0.048,0.625,0.410714,0.616667,0.533333,0.848485,0.891623,0.565608,0.780991,0.542892,1,0.5,0.320261,1
0.094542,0.75,0.714286,0.816667,0.773333,0.613636,0.057413,0.055889,0.054853,0.542892,0.553571,0.513158,0.405229,1
0.11,0.428571,0.392857,0.483333,0.4,0.545455,0.057413,0.055889,0.054853,1,0.607143,0.394737,0.330065,1
0.12,0.821429,0.75,0.6,0.726667,0.962121,0.057413,0.055889,0.054853,0.222222,0.955357,0.526316,0.490196,1
0.024,0.285714,0.5,0.333333,0.326667,0.715909,0.057413,0.055889,0.054853,0.111111,0.84375,0.355263,0.261438,1
0.2,0.517857,0.982143,0.666667,0.726667,0.723276,0.057413,0.055889,0.054853,0.542892,0.749549,0.394737,0.359477,1
0.0228,0.490448,0.518448,0.531311,0.489179,0.863636,0.530366,0.927601,0.561982,1,1,0.513158,0.486928,1
0.036,0.732143,0.625,0.716667,0.693333,0.890152,0.057413,0.055889,0.054853,0.777778,0.982143,0.578947,0.529412,1
0.055,0.490448,0.518448,0.531311,0.489179,0.867424,0.349738,0.601807,0.488979,0.777778,0.977679,0.526316,0.281046,1
0.25,0.910714,0.696429,0.75,0.8,0.704545,1,0.638006,0.853994,0.888889,0.683036,0.578947,0.542484,1
0.099487,0.821429,0.875,0.966667,0.92,0.496212,0.057413,0.055889,0.054853,1,0.482143,0.605263,0.437908,1
0.17,0.767857,0.714286,0.633333,0.706667,0.916667,0.057413,0.055889,0.054853,0.777778,0.915179,0.526316,0.437908,1
0.23,0.714286,0.910714,0.783333,0.82,0.848485,0.057413,0.055889,0.054853,1,0.875,0.644737,0.496732,1
0.202,0.714286,0.660714,0.85,0.753333,0.715909,0.057413,0.055889,0.054853,1,0.745536,0.565789,0.48366,1
0.224,0.5,0.428571,0.583333,0.48,0.636364,0.277487,0.565608,0.054853,0.542892,0.714286,0.565789,0.326797,1
0.18,0.875,0.517857,0.933333,0.793333,0.776515,0.057413,0.055889,0.054853,0.666667,0.794643,0.526316,0.529412,1
0.031636,0.303571,0.553571,0.266667,0.326667,0.825758,0.057413,0.055889,0.054853,0.666667,0.924107,0.289474,0.27451,1
0.042,0.642857,0.660714,0.583333,0.62,0.799242,0.638743,0.710405,0.561982,0.777778,0.830357,0.526316,0.385621,1
0.13,0.490448,0.518448,0.531311,0.489179,0.67803,0.494241,0.493209,0.561982,0.542892,0.799107,0.526316,0.310458,1
0.094542,0.696429,0.5,0.733333,0.64,0.768939,0.057413,0.055889,0.054853,0.888889,0.866071,0.526316,0.359477,1
0.17,0.625,0.571429,0.533333,0.56,0.795455,0.057413,0.055889,0.054853,0.333333,0.816964,0.526316,0.281046,1
0.0273,0.375,0.642857,0.35,0.42,0.795455,0.057413,0.055889,0.054853,0.777778,0.9375,0.394737,0.300654,1
0.08,0.571429,0.642857,0.633333,0.606667,0.795455,0.057413,0.055889,0.054853,1,0.776786,0.552632,0.320261,1
0.09,0.535714,0.607143,0.65,0.586667,0.829545,0.057413,0.055889,0.054853,0.777778,0.888393,0.526316,0.281046,1
0.135,0.785714,0.678571,0.616667,0.693333,0.924242,0.057413,0.055889,0.054853,0.333333,0.941964,0.526316,0.411765,1
0.1,0.428571,0.553571,0.616667,0.513333,0.791667,0.057413,0.055889,0.054853,0.888889,0.754464,0.526316,0.359477,1
0.128,0.517857,0.625,0.816667,0.653333,0.848485,0.494241,0.601807,0.634985,0.542892,0.857143,0.605263,0.320261,1
0.094542,0.589286,0.660714,0.5,0.566667,0.753788,0.566492,0.674206,0.671487,0.777778,0.709821,0.486842,0.398693,1
0.0375,0.714286,0.482143,0.716667,0.633333,0.890152,0.927749,0.601807,0.707988,0.444444,0.946429,0.486842,0.366013,1
0.071,0.660714,0.553571,0.883333,0.706667,0.765152,0.057413,0.055889,0.054853,1,0.745536,0.526316,0.46732,1
0.07,0.857143,0.732143,0.866667,0.84,0.757576,0.057413,0.055889,0.054853,1,0.892857,0.592105,0.339869,1
0.08,0.696429,0.678571,0.6,0.653333,0.67803,0.638743,0.710405,0.671487,0.666667,0.674107,0.486842,0.392157,1
0.106,0.446429,0.553571,0.533333,0.486667,0.67803,0.057413,0.055889,0.054853,0.222222,0.602679,0.526316,0.281046,1
0.094542,1,0.732143,1,0.946667,0.511364,0.057413,0.055889,0.054853,1,0.566964,0.513158,0.27451,1
0.13,0.446429,0.285714,0.616667,0.42,0.848485,0.057413,0.055889,0.054853,0.888889,0.834821,0.486842,0.457516,1
0.228,0.696429,0.821429,0.816667,0.793333,0.55303,0.891623,0.963801,0.853994,1,0.571429,0.578947,0.385621,1
0.01,0.464286,0.482143,0.466667,0.44,0.727273,0.057413,0.055889,0.054853,0.111111,0.741071,0.526316,0.415033,1
0.4,0.678571,0.660714,0.683333,0.673333,0.704545,0.057413,0.055889,0.054853,1,0.71875,0.539474,0.339869,1
0.145,0.642857,0.553571,0.716667,0.633333,0.753788,0.74712,0.638006,0.634985,0.777778,0.709821,0.526316,0.542484,1
0.4,0.571429,0.625,0.583333,0.58,0.863636,0.638743,0.601807,0.561982,0.555556,0.866071,0.552632,0.513072,1
0.18,0.490448,0.518448,0.531311,0.489179,0.719697,0.819372,0.963801,0.707988,1,0.736607,0.526316,0.281046,1
0.02,0.375,0.375,0.466667,0.366667,0.625,0.566492,0.42081,0.488979,0.111111,0.589286,0.552632,0.294118,1
0.013,0.428571,0.660714,0.583333,0.54,0.700758,0.057413,0.055889,0.054853,0.542892,0.825893,0.631579,0.366013,1
0.015,0.821429,0.571429,0.6,0.66,0.787879,0.057413,0.055889,0.054853,1,0.785714,0.460526,0.346405,1
0.016015,0.553571,0.5,0.466667,0.48,0.848485,0.057413,0.055889,0.054853,0.666667,0.964286,0.460526,0.359477,1
0.3,0.803571,0.678571,0.666667,0.72,0.715909,0.057413,0.055889,0.054853,0.666667,0.705357,0.526316,0.437908,1
0.266,0.660714,0.642857,0.683333,0.66,0.780303,0.057413,0.055889,0.054853,0.666667,0.763393,0.578947,0.437908,1
0.054541,0.75,0.553571,0.633333,0.64,0.848485,0.057413,0.055889,0.054853,0.777778,0.888393,0.526316,0.568627,1
0.049492,0.553571,0.482143,0.566667,0.513333,0.636364,0.057413,0.055889,0.054853,0.444444,0.553571,0.526316,0.281046,1
0.012857,0.428571,0.285714,0.333333,0.3,0.587121,0.057413,0.055889,0.054853,0.222222,0.611607,0.486842,0.261438,1
0.1,0.607143,0.517857,0.583333,0.553333,0.625,0.057413,0.055889,0.054853,0.542892,0.665179,0.526316,0.385621,1
0.04,0.75,0.642857,0.683333,0.693333,0.848485,0.057413,0.055889,0.054853,0.888889,0.834821,0.460526,0.490196,1
0.039,0.482143,0.5,0.483333,0.46,0.848485,0.530366,0.529408,0.452478,0.111111,0.910714,0.434211,0.320261,1
0.11,0.625,0.803571,0.5,0.633333,0.700758,0.057413,0.055889,0.054853,0.777778,0.785714,0.368421,0.372549,1
0.075,0.410714,0.410714,0.416667,0.373333,0.734848,0.530366,0.529408,0.488979,0.222222,0.71875,0.526316,0.30719,1
0.0434,0.75,0.678571,0.733333,0.726667,0.704545,0.057413,0.055889,0.054853,0.777778,0.683036,0.592105,0.647059,1
0.038766,0.5,0.928571,0.5,0.633333,0.878788,0.057413,0.055889,0.054853,1,0.959821,0.578947,0.30719,1
0.085,0.571429,0.571429,0.5,0.526667,0.583333,0.566492,0.601807,0.598484,0.444444,0.575893,0.434211,0.294118,1
0.094542,0.490448,0.518448,0.531311,0.489179,0.795455,0.710995,0.529408,0.054853,0.333333,0.848214,0.381579,0.176471,1
0.094542,0.75,0.678571,0.833333,0.766667,0.674242,0.057413,0.055889,0.054853,0.888889,0.633929,0.526316,0.542484,1
