@relation 'admission_stats-weka.filters.unsupervised.attribute.Remove-R1-2,13,15-16'

@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
87000,700,610,710,2020,3.42,?,?,?,10,3.14,0
10000,490,510,510,1510,3.5,16,25,23,6,3.41,4
120000,550,420,590,1560,3.57,?,?,?,8,3.42,0
170000,620,630,570,1820,3.95,?,?,?,9,3.59,3
?,620,570,660,1850,3.75,?,?,?,10,3.46,0
60000,550,640,570,1760,3.71,?,?,?,7,3.42,4
?,440,470,410,1320,3.5,14,22,17,6,3.5,4
22000,360,380,370,1110,3.52,?,?,?,9,3.43,4
120000,700,550,670,1920,3.72,32,29,30,8,3.45,2
?,600,680,600,1880,3.44,?,?,?,10,3.12,4
48000,590,470,570,1630,4,33,24,29,?,4,1
155000,600,580,540,1720,3.96,32,26,24,10,3.75,3
?,620,620,630,1870,3.75,31,25,25,?,3.52,0
48116,610,640,530,1780,3.39,?,?,?,?,3.19,0
?,?,?,?,?,3.24,22,24,23,?,3.24,2
40000,670,640,670,1980,3.85,?,?,?,4,3.45,4
?,660,640,690,1990,3.38,?,?,?,?,3,1
8975,500,450,510,1460,3.57,?,?,?,6,3.42,3
75000,540,610,570,1720,4.17,?,?,?,9,3.91,0
33000,610,680,490,1780,3.81,?,?,?,6,3.63,0
77600,800,800,650,2250,4.11,?,?,?,10,3.8,0
999000,630,740,630,2000,3.73,?,?,?,10,3.42,4
200000,530,340,510,1380,3.82,?,?,?,7,3.6,4
29005,430,470,530,1430,4.27,19,20,18,?,4,4
22000,630,500,560,1690,3.7,?,?,?,?,3.7,4
110000,480,460,490,1430,3.2,?,?,?,10,3.12,1
41235,610,640,540,1790,4.04,31,32,26,8,3.86,0
56000,410,430,370,1210,3.3,?,?,?,3,3.3,3
120000,700,660,560,1920,4.3,?,?,?,3,3.9,1
16572,560,690,600,1850,3.41,?,?,?,4,3.16,3
24000,400,520,400,1320,3.65,?,?,?,2,3.65,1
