@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
11.0,Female,1.0,0.048000048,0.7375,0.5875,0.7125,0.533333333333,0.848484848485,0.892857142857,0.666666666667,0.805555555556,0.542892156863,English,1.0,0.5,0.320261437908,1
17.0,Female,0.0,0.0945417930712,0.825,0.8,0.8625,0.773333333333,0.613636363636,0.0,0.861111111111,0.805555555556,0.542892156863,English,0.553571428571,0.513157894737,0.40522875817,1
26.0,Female,0.0,0.11000011,0.6,0.575,0.6125,0.4,0.545454545455,1.0,0.555555555556,0.527777777778,1.0,EnglishandAnother,0.607142857143,0.394736842105,0.330065359477,1
29.0,Male,0.0,0.12000012,0.875,0.825,0.7,0.726666666667,0.962121212121,1.0,0.888888888889,0.861111111111,0.222222222222,English,0.955357142857,0.526315789474,0.490196078431,1
31.0,Male,1.0,0.024000024,0.5,0.65,0.5,0.326666666667,0.715909090909,1.0,0.388888888889,0.611111111111,0.111111111111,Another,0.84375,0.355263157895,0.261437908497,1
41.0,Female,0.0,0.2000002,0.6625,0.9875,0.75,0.726666666667,0.723275958111,1.0,0.666666666667,1.0,0.542892156863,Another,0.749548647584,0.394736842105,0.359477124183,1
42.0,Female,0.0,0.0228000228,0.0,0.0,0.0,0.489178921569,0.863636363636,0.535714285714,0.944444444444,0.638888888889,1.0,Another,1.0,0.513157894737,0.486928104575,1
43.0,Female,0.0,0.036000036,0.8125,0.7375,0.7875,0.693333333333,0.890151515152,1.0,0.861111111111,0.75,0.777777777778,English,0.982142857143,0.578947368421,0.529411764706,1
47.0,Female,0.0,0.0550000550001,0.0,0.0,0.7375,0.489178921569,0.867424242424,0.357142857143,0.694444444444,0.583333333333,0.777777777778,English,0.977678571429,0.526315789474,0.281045751634,1
48.0,Female,0.0,0.25000025,0.9375,0.7875,0.8125,0.8,0.704545454545,1.0,0.722222222222,0.861111111111,0.888888888889,English,0.683035714286,0.578947368421,0.542483660131,1
49.0,Male,0.0,0.0994870994871,0.875,0.9125,0.975,0.92,0.496212121212,1.0,0.888888888889,0.916666666667,1.0,Another,0.482142857143,0.605263157895,0.437908496732,1
59.0,Female,0.0,0.17000017,0.8375,0.8,0.725,0.706666666667,0.916666666667,1.0,0.861111111111,0.805555555556,0.777777777778,Another,0.915178571429,0.526315789474,0.437908496732,1
61.0,Male,0.0,0.23000023,0.8,0.9375,0.8375,0.82,0.848484848485,1.0,0.805555555556,0.972222222222,1.0,English,0.875,0.644736842105,0.496732026144,1
63.0,Male,0.0,0.202000202,0.8,0.7625,0.8875,0.753333333333,0.715909090909,1.0,0.805555555556,0.75,1.0,English,0.745535714286,0.565789473684,0.483660130719,1
75.0,Male,0.0,0.224000224,0.65,0.6,0.6875,0.48,0.636363636364,0.285714285714,0.666666666667,0.555555555556,0.542892156863,English,0.714285714286,0.565789473684,0.326797385621,1
76.0,Female,0.0,0.18000018,0.9125,0.6625,0.95,0.793333333333,0.776515151515,1.0,0.916666666667,0.666666666667,0.666666666667,English,0.794642857143,0.526315789474,0.529411764706,1
82.0,Male,1.0,0.031636031636,0.5125,0.6875,0.45,0.326666666667,0.825757575758,1.0,0.444444444444,0.666666666667,0.666666666667,Another,0.924107142857,0.289473684211,0.274509803922,1
91.0,Male,0.0,0.042000042,0.75,0.7625,0.6875,0.62,0.799242424242,0.642857142857,0.777777777778,0.638888888889,0.777777777778,English,0.830357142857,0.526315789474,0.385620915033,1
98.0,Female,0.0,0.13000013,0.0,0.7,0.6625,0.489178921569,0.67803030303,0.5,0.611111111111,0.638888888889,0.542892156863,English,0.799107142857,0.526315789474,0.31045751634,1
101.0,Female,0.0,0.0945417930712,0.7875,0.65,0.8,0.64,0.768939393939,0.0,0.805555555556,0.611111111111,0.888888888889,English,0.866071428571,0.526315789474,0.359477124183,1
104.0,Female,0.0,0.17000017,0.7375,0.7,0.65,0.56,0.795454545455,1.0,0.75,0.694444444444,0.333333333333,EnglishandAnother,0.816964285714,0.526315789474,0.281045751634,1
106.0,Female,1.0,0.0273000273,0.5625,0.75,0.5125,0.42,0.795454545455,1.0,0.527777777778,0.75,0.777777777778,Another,0.9375,0.394736842105,0.300653594771,1
107.0,Female,0.0,0.0800000800001,0.7,0.75,0.725,0.606666666667,0.795454545455,1.0,0.694444444444,0.75,1.0,English,0.776785714286,0.552631578947,0.320261437908,1
