@relation admission_stats-weka.filters.unsupervised.attribute.Remove-R15-16-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute gender {Male,Female,Unknown}
@attribute Firgen numeric
@attribute famincome numeric
@attribute SATCRDG numeric
@attribute SATMATH numeric
@attribute SATWRTG numeric
@attribute SATTotal numeric
@attribute HSGPA numeric
@attribute ACTRead numeric
@attribute ACTMath numeric
@attribute ACTEngWrit numeric
@attribute APIScore numeric
@attribute FirstLang {English,EnglishandAnother,Another}
@attribute HSGPAunweighted numeric
@attribute Firstyrcumgpa {0,1,2,3,4}

@data
Female,0,0.087,0.821429,0.660714,0.85,0.793333,0.628788,0.571786,0.517127,0.537006,1,EnglishandAnother,0.616071,0
Female,1,0.01,0.446429,0.482143,0.516667,0.453333,0.659091,0.259259,0.541667,0.538462,0.555556,English,0.736607,4
Female,0,0.12,0.553571,0.321429,0.65,0.486667,0.685606,0.571786,0.517127,0.537006,0.777778,English,0.741071,0
Male,0,0.17,0.678571,0.696429,0.616667,0.66,0.829545,0.571786,0.517127,0.537006,0.888889,Another,0.816964,3
Female,1,0.09302,0.678571,0.589286,0.766667,0.68,0.753788,0.571786,0.517127,0.537006,1,English,0.758929,0
Male,1,0.06,0.553571,0.714286,0.616667,0.62,0.738636,0.571786,0.517127,0.537006,0.666667,EnglishandAnother,0.741071,4
Male,0,0.09302,0.357143,0.410714,0.35,0.326667,0.659091,0.185185,0.416667,0.307692,0.555556,Another,0.776786,4
Male,1,0.022,0.214286,0.25,0.283333,0.186667,0.666667,0.571786,0.517127,0.537006,0.888889,EnglishandAnother,0.745536,4
Male,0,0.12,0.821429,0.553571,0.783333,0.726667,0.742424,0.851852,0.708333,0.807692,0.777778,English,0.754464,2
Male,0,0.09302,0.642857,0.785714,0.666667,0.7,0.636364,0.571786,0.517127,0.537006,1,English,0.607143,4
Female,1,0.048,0.625,0.410714,0.616667,0.533333,0.848485,0.888889,0.5,0.769231,0.623153,English,1,1
Female,0,0.155,0.642857,0.607143,0.566667,0.593333,0.833333,0.851852,0.583333,0.576923,1,English,0.888393,3
Female,0,0.09302,0.678571,0.678571,0.716667,0.693333,0.753788,0.814815,0.541667,0.615385,0.623153,English,0.785714,0
Male,0,0.048116,0.660714,0.714286,0.55,0.633333,0.617424,0.571786,0.517127,0.537006,0.623153,English,0.638393,0
Female,0,0.09302,0.561603,0.589212,0.590667,0.565904,0.560606,0.481481,0.5,0.538462,0.623153,English,0.660714,2
Female,1,0.04,0.767857,0.714286,0.783333,0.766667,0.791667,0.571786,0.517127,0.537006,0.333333,English,0.754464,4
Female,0,0.09302,0.75,0.714286,0.816667,0.773333,0.613636,0.571786,0.517127,0.537006,0.623153,English,0.553571,1
Male,1,0.008975,0.464286,0.375,0.516667,0.42,0.685606,0.571786,0.517127,0.537006,0.555556,English,0.741071,3
Male,1,0.075,0.535714,0.660714,0.616667,0.593333,0.912879,0.571786,0.517127,0.537006,0.888889,English,0.959821,0
Male,1,0.033,0.660714,0.785714,0.483333,0.633333,0.776515,0.571786,0.517127,0.537006,0.555556,English,0.834821,0
Female,1,0.0776,1,1,0.75,0.946667,0.890152,0.571786,0.517127,0.537006,1,Another,0.910714,0
Female,0,0.999001,0.696429,0.892857,0.716667,0.78,0.746212,0.571786,0.517127,0.537006,1,English,0.741071,4
Female,1,0.2,0.517857,0.178571,0.516667,0.366667,0.780303,0.571786,0.517127,0.537006,0.666667,English,0.821429,4
Female,1,0.029005,0.339286,0.410714,0.55,0.4,0.950758,0.37037,0.333333,0.346154,0.623153,English,1,4
Female,1,0.022,0.696429,0.464286,0.6,0.573333,0.734848,0.571786,0.517127,0.537006,0.623153,English,0.866071,4
Female,0,0.11,0.428571,0.392857,0.483333,0.4,0.545455,0.571786,0.517127,0.537006,1,EnglishandAnother,0.607143,1
