@relation admission_stats_test
@attribute 'gender' {Male, Female}
@attribute 'Firgen' numeric
@attribute 'famincome' numeric
@attribute 'SATCRDG' numeric
@attribute 'SATMATH' numeric
@attribute 'SATWRTG' numeric
@attribute 'SATTotal' numeric
@attribute 'HSGPA' numeric
@attribute 'ACTRead' numeric
@attribute 'ACTMath' numeric
@attribute 'ACTEngWrit' numeric
@attribute 'APIScore' numeric
@attribute 'FirstLang' {English, EnglishandAnother, Another}
@attribute 'HSGPAunweighted' numeric
@data
Female,0,175000,630,630,590,1850,3.72, , , ,10,Another,3.45
Male,0,150000,620,770,580,1970,4.09, , , ,6,English,3.72
Female,0,100000,620,610,630,1860,3.69,21,25,27, ,English,3.61
Female,0,137000,520,500,460,1480,3.54,19,24,18,,English,3.45
Female,0,142000,670,700,620,1990,4, , , ,8,English,3.63
Female,0,400000, , , , ,3.75,29,26,30,9,English,3.5
Unknown,0,320000,640,680,580,1900,3.61, , , ,6,English,3.3
Female,0,120000,370,630,440,1440,3.42, , , ,,Another,3.42
Male,0,18000,650,550,540,1740,2.95, , , ,10,EnglishandAnother,2.95
Male,300,72000,290,410,340,1040,2.6,13,17,13,1,English,2.6
Female,300,160000,520,540,570,1630,3.75, , , ,9,English,3.41
Female,300,0,500,610,500,1610,3.28,22,26,22,10,English,3
Male,0, ,740,700,690,2130,4.09, , , ,4,English,3.72
Male,0,35000,570,710,520,1800,4.27, , , ,7,English,4
Male,0,131000,590,750,680,2020,3.58, , , ,10,English,3.5
Male,0,250000,660,580,760,2000,3.88, , , ,10,English,3.59
Female,0,160000,550,610,560,1720,, , , , ,English, 
Female,300,96000,460,360,490,1310,3.45,20,17,23,8,English,3.35
Female,300,49301,570,590,540,1700,3.5, , , ,6,English,3.1
Male,0,220000,650,760,670,2080,3.92, , , ,8,English,3.69
Male,0,315000,670,650,530,1850,3.45, , , ,,English,3.45
Female,0,236758, , , , ,3.76,23,19,21,,English,3.44
Female,0, ,610,660,780,2050,3.46, , , ,10,EnglishandAnother,3.32
Female,300,29870, , , , ,3.68,31,20,22,,EnglishandAnother,3.4
Male,300,18000,410,470,450,1330,3.2, , , ,3,English,3.2
Male,0,60000,490,480,420,1390,3.16, , , ,5,EnglishandAnother,2.91
Female,0, ,550,740,650,1940,3.03, , , , ,Another,3.03
Female,0,251369,520,540,540,1600,4.09,20,27,22,10,Another,3.81
Female,0,30000,430,270,480,1180,4.04,15,17,16,1,English,3.87
Female,0,49000,640,670,630,1940,4.27,29,27,30,5,English,3.9
Male,300,250000,500,450,540,1490,3.95,25,22,24,8,English,3.59
Female,0, ,630,530,630,1790,3.39,33,28,30,10,English,3.17
Female,0,275000,540,600,540,1680,3.63, , , ,,English,3.54
Female,0,125000,550,440,560,1550,3.66,21,17,23,8,EnglishandAnother,3.58
Male,0,105000,550,590,550,1690,3.27,23,28,24,9,English,3.09
Male,0,120000,510,640,540,1690,3.09,17,24,22,4,English,2.9
Female,300,20000,330,320,390,1040,3.75,11,16,15,3,Another,3.55
Female,300,120000,640,700,610,1950,3.71, , , ,9,Another,3.33
Male,0,145000,730,670,650,2050,3.47, , , ,10,EnglishandAnother,3.13
Female,300,28732,690,580,700,1970,3.6, , , ,9,Another,3.43
Male,300,63000,720,710,560,1990,4.2, , , ,7,English,3.9
Male,0, ,630,620,750,2000,3.8,25,30,29,9,EnglishandAnother,3.4
Male,0,200000,570,680,550,1800,3.41, , , ,10,Another,3.08
Female,0,180000,530,590,580,1700,4.04,28,26,21,8,English,3.68
Female,0,137000, , , , ,3.9,25,23,23, ,English,3.77
Female,0,98000,590,500,610,1700,3.86,22,26, ,,English,3.6
Male,0,65027,620,640,550,1810,3.3, , , , ,English,3.3
Male,0,44750,450,550,500,1500,4.27,21,19,20,5,Another,3.9
Female,0,30000,620,570,620,1810,3.4,24,24,26,7,Another,3.22
Male,300,28,550,450,480,1480,3.22, , , ,2,Another,2.86
Male,300,15000,620,650,610,1880,3.7,31,33,29,10,English,3.45
Female,0,48453,580,540,600,1720,3.74,30,23,26,10,EnglishandAnother,3.48
Male,300,41000,570,530,540,1640,3.87, , , ,7,EnglishandAnother,3.54
Female,0,200000,620,610,540,1770,3.34,33,21,23, ,EnglishandAnother,3.2
Female,0,220000, , , , ,3.7,26,30,24,9,EnglishandAnother,3.54
Male,0,260000,600,670,660,1930,3.77, , , ,10,English,3.5
Male,0,10000,650,710,610,1970,2.96,31,28,23, ,EnglishandAnother,2.82
Female,0, ,490,580,550,1620,3.96, , , ,,English,3.69
Female,300,30000,480,460,480,1420,3.7,21,18,17,2,Another,3.63
Male,0,80000,460,470,470,1400,3.65,17,23,21,8,EnglishandAnother,3.45
Male,0,350000,430,490,500,1420,3.45, , , ,,EnglishandAnother,3.45
Male,0,156000,580,710,610,1900,3.85, , , ,9,English,3.45
Male,300,150000,550,650,530,1730,3.81, , , ,4,English,3.54
Male,300,240000,500,570,690,1760,3.5, , , ,10,English,3.4
Female,300,21632,460,360,440,1260,3.9, , , ,2,Another,3.8
Female,300,151000,630,660,630,1920,3.56, , , ,8,EnglishandAnother,3.56
Female,0,255000,550,680,610,1840,4.03, , , ,6,English,3.89
Female,0,100000, , , , ,4,29,27,24,7,English,3.63
Male,0,250000,550,510,550,1610,3.08,25,23,21,,Another,3.08
Female,0,140000, , , , ,3.8,31,25,28,9,English,3.53
Female,0,150000,590,610,600,1800,3.8,32,24,24,10,English,3.64
Female,0,250000,520,650,610,1780,4.2,23,27,22,9,English,3.87
Male,0,195000,760,760,670,2190,3.86, , , ,,English,3.5
Male,0,165000,560,500,550,1610,3.5, , , ,10,English,3.3
Female,0,129578,750,670,710,2130,4,32,29,27,10,EnglishandAnother,3.75
Male,0,75000,680,670,590,1940,3.22, , , ,8,EnglishandAnother,3.04
Male,0,230000,680,710,750,2140,3.25,28,32,31,3,English,2.85
Male,300,22000,730,540,520,1790,4.3, , , ,6,English,4
Female,300,23328,500,490,520,1510,3.95, , , ,7,English,3.55
Female,300,15311,460,410,430,1300,3.93, , , ,5,Another,3.8
Female,300,60000,460,420,480,1360,3.91,24,16,21,9,EnglishandAnother,3.66
Female,300,8000, , , , ,3.65,25,18,21,6,Another,3.34
Female,0,77500,630,470,670,1770,3.68, , , ,8,English,3.5
Female,0, ,570,540,650,1760,3.68,27,24,24,7,EnglishandAnother,3.31
Male,0,130000,670,630,620,1920,3.84, , , ,1,English,3.68
Female,300,42000,480,500,520,1500,3.48,30,24,24,7,Another,3.4
Male,0,320000,610,680,640,1930,3.87, , , ,10,English,3.7
Male,0,66000,480,650,480,1610,2.7, , , ,10,Another,2.7
Female,0,19000,670,630,670,1970,3.76,32,30,23,10,EnglishandAnother,3.5
Male,300,157000,500,520,490,1510,4.27,21,23,23,6,English,3.9
Male,0,200000,740,710,690,2140,3.35, , , ,10,Another,3
Female,0,195000,650,650,660,1960,3.68, , , ,7,Another,3.31
Female,0,20000,580,590,660,1830,3.65, , , ,10,English,3.47
Male,300,7000,560,550,550,1660,3.23, , , ,10,EnglishandAnother,3.23
Male,0,200000,800,770,750,2320,4.04, , , ,10,English,3.86
Male,0, ,570,610,580,1760,3.5, , , ,10,English,3.19
Male,300,32700, , , , ,3.41,33,31,30,10,EnglishandAnother,3.25
Male,0,200000,630,640,780,2050,3.59, , , ,10,EnglishandAnother,3.22
Female,0,36200, , , , ,3.26,12,15,19,2,EnglishandAnother,3.15
Male,0,160000,510,500,480,1490,3.56, , , ,,English,3.47
Female,300, ,630,630,630,1890,4,33,29,27,5,English,3.63
Male,300,48260,450,620,570,1640,3.75,20,27,24,9,Another,3.35
Female,0,76200,730,680,740,2150,3.96, , , ,4,English,3.69
Male,300,42804,570,600,530,1700,3.6,22,31,21,10,Another,3.53
Female,0,400000, , , , ,3.42,18,32,21, ,Another,3.42
Female,0,48025, , , , ,3.56,18,28,18,,Another,3.56
Female,0,100000,640,700,680,2020,3.79, , , ,10,English,3.54
Unknown,0,232000,620,630,710,1960,3.54, , , ,7,EnglishandAnother,3.18
Female,0,218000,640,610,710,1960,3.59, , , ,,English,3.4
Male,300,20256,580,640,540,1760,3.63,22,26,23,5,English,3.27
Female,0,208000,710,500,680,1890,3.33, , , ,8,English,3.16
Female,0,150000,660,690,610,1960,3.95, , , ,10,English,3.61
Male,0,66235,630,740,630,2000,3.7, , , ,8,English,3.3
Female,300,150000, , , , ,3.76,28,30,21,8,EnglishandAnother,3.57
Female,300,9382,620,490,500,1610,3.69, , , ,4,Another,3.38
Female,0,245000, , , , ,3.61,36,25,27,10,EnglishandAnother,3.23
Female,300,34576,300,430,380,1110,3.8, , , ,5,Another,3.66
Male,0,165000,610,660,630,1900,3.94, , , ,9,English,3.61
Male,300,27000,470,490,530,1490,3.72,26,24,21,7,English,3.54
Male,0,150000,660,670,740,2070,3.56, , , ,10,English,3.24
Male,0,47125,620,740,680,2040,3.81, , , ,9,EnglishandAnother,3.45
Female,0,160000,600,550,610,1760,3.85, , , ,6,Another,3.55
Male,300,70000,500,520,430,1450,4.25, , , ,5,English,3.85
Male,300,63000, , , , ,3.54, , , ,6,EnglishandAnother,3.36
Female,300,4734,480,460,400,1340,3.73, , , ,2,English,3.53
Female,0,180000,520,530,580,1630,3.52, , , ,9,EnglishandAnother,3.26
Female,300,22000,480,470,430,1380,3.95,22,19,21,7,Another,3.71
Male,0,111614,610,660,630,1900,3.83, , , ,10,EnglishandAnother,3.5
Male,0,160000,660,510,570,1740,3.77, , , ,8,English,3.5
Female,0,300000,540,620,710,1870,3.5,33,28,26,10,English,3.22
Female,300,16000,460,500,520,1480,3.59,22,27,22,6,EnglishandAnother,3.31
Male,0,250000,620,710,690,2020,3.31,33,28,27,9,English,3.13
Male,0,30000,570,690,660,1920,3.22,24,35,26,10,English,2.95
Female,0, ,480,440,560,1480,, , , , ,English, 
Female,0,150000,630,680,640,1950,3.5, , , ,10,English,3.21
Male,0,200000, , , , ,3.55,32,28,31,10,English,3.15
Female,0,98000,630,630,690,1950,3.65, , , ,6,English,3.25
Female,300,9000,460,390,410,1260,3.63, , , ,2,Another,3.36
Female,0,999999,640,570,660,1870,,35,23,30, ,English, 
Male,0,70000,590,620,580,1790,3.95,32,29,20,8,EnglishandAnother,3.86
Female,300,8640,520,420,550,1490,3.56,24,19,21,2,English,3.3
Male,300,65000,490,560,530,1580,3.34, , , ,9,EnglishandAnother,3.13
Male,0,90000,520,540,510,1570,3.84,17,25,21,5,Another,3.53
Male,0, ,530,640,610,1780,3.77, , , ,3,EnglishandAnother,3.4
