Subjnum,gender,Firgen,famincome,SATCRDG,SATMATH,SATWRTG,SATTotal,HSGPA,ACTRead,ACTMath,ACTEngWrit,APIScore,FirstLang,HSGPAunweighted,Firststyrunitsforgpa,Firststyeartotcumunits,Firstyrcumgpa
2,Female,300,10000,490,510,510,1510,3.5,16,25,23,6,English,3.41,45,50,1.9
9,Male,0,120000,700,550,670,1920,3.72,32,29,30,8,English,3.45,52,72,3.23
12,Female,0,155000,600,580,540,1720,3.96,32,26,24,10,English,3.75,35,47,2.76
27,Male,300,41235,610,640,540,1790,4.04,31,32,26,8,English,3.86,45,65,3.9
45,Male,300,102000,500,470,470,1440,3.8,21,22,24,,English,3.5,46,54,2.8
48,Female,0,250000,750,630,650,2030,3.62,36,26,31,9,English,3.29,49,85,3.5
52,Female,0,8000,580,390,510,1480,4,24,16,21,4,English,3.8,38,54,3
58,Male,0,290000,640,690,600,1930,3.71,27,32,29,7,English,3.59,41,61,3.15
60,Female,0,90000,570,620,640,1830,4.35,29,25,30,8,English,3.95,47,51.5,4
79,Male,0,213000,560,650,700,1910,3.59,24,28,27,9,EnglishandAnother,3.22,42,78,1.38
87,Female,0,131440,520,560,580,1660,3.61,22,24,22,8,English,3.33,47,57,2.56
91,Male,0,42000,600,610,550,1760,3.87,26,28,23,8,English,3.62,45,61,3.46
99,Male,0,160000,640,580,640,1860,3.81,26,21,28,9,English,3.63,50,82,4
100,Female,0,240000,590,570,610,1770,3.25,27,26,25,,English,3.08,50,58,3.7
108,Male,0,200000,490,620,470,1580,3.55,27,24,23,9,English,3.55,43,43,3
121,Female,0,128000,530,590,690,1810,4,22,25,25,,English,3.68,51,51,3.52
124,Female,300,37500,640,510,630,1780,4.11,34,25,27,5,English,3.88,42,58,3.53
126,Male,300,25000,400,480,490,1370,3.72,16,17,22,4,English,3.54,45,53,3.1
133,Female,0,560000,660,630,700,1990,4,32,27,27,10,English,3.65,40,67,3.1
134,Female,300,27440,500,480,550,1530,4,21,26,22,6,EnglishandAnother,4,40,45,2.35
141,Female,0,100000,600,710,700,2010,3.5,20,30,23,7,Another,3.13,49,77,3.81
144,Male,0,950000,460,680,420,1560,3.25,25,35,24,10,EnglishandAnother,2.91,45,75,3.15
148,Male,300,59000,600,570,600,1770,3.85,28,29,27,9,English,3.45,42,62,3
149,Male,0,125000,450,550,460,1460,3.75,21,23,21,8,English,3.55,45,45,2.13
151,Female,0,200000,520,530,570,1620,3.5,23,27,20,6,English,3.16,51,59,3.21
152,Male,0,80000,630,620,560,1810,3.55,26,28,26,7,English,3.27,42,62,3.33
163,Male,300,13200,410,480,370,1260,3.7,20,21,20,6,Another,3.62,28,38,2
167,Female,300,20818,480,500,540,1520,3.64,29,23,26,6,Another,3.57,45,61,3.66
169,Male,0,228000,630,700,690,2020,3.22,33,35,31,10,English,3.04,49,61,3.61
178,Male,300,110746,520,570,480,1570,3.51,21,26,22,4,EnglishandAnother,3.25,45,58,2.56
180,Female,0,90000,610,660,620,1890,4.31,31,28,27,7,Another,3.95,47,97.5,3.23
185,Male,0,145000,600,550,630,1780,3.75,29,26,25,8,English,3.35,45,85,3.43
186,Female,0,400000,560,590,550,1700,4.04,26,25,23,6,English,3.7,47,80.5,3.56
191,Male,0,20000,450,450,480,1380,3.41,24,20,21,2,English,3.08,47,47,3.47
192,Male,0,160000,570,540,570,1680,3.77,23,26,24,4,English,3.59,52,72,3.91
193,Male,300,22703,510,530,550,1590,3.8,31,26,21,8,EnglishandAnother,3.7,35,38.5,1.43
199,Female,300,53000,460,440,540,1440,3.7,18,21,18,5,EnglishandAnother,3.54,38,38,2.66
210,Female,300,80000,600,490,700,1790,3.76,29,25,29,6,English,3.46,45,77,2.9
219,Female,300,1227,520,450,470,1440,4.06,21,20,21,,English,4,35,40,3
221,Female,300,31000,540,540,490,1570,3.61,24,23,20,6,EnglishandAnother,3.5,40,45,3
222,Female,300,5000,430,340,450,1220,3.68,15,15,17,,English,3.62,25,37,2.15
223,Female,300,80000,590,640,590,1820,4.17,25,26,23,8,English,3.86,45,54,3.66
227,Unknown,300,22480,550,510,510,1570,3.7,24,19,16,3,Another,3.4,32,49,2.3
230,Female,0,200000,630,520,670,1820,3.91,36,24,30,9,English,3.75,45,45,3.9
232,Male,0,74000,420,520,520,1460,3.66,22,22,21,7,EnglishandAnother,3.33,25,25,2.5
233,Female,0,18000,670,670,690,2030,4.33,32,31,29,7,English,4,51,79,3.92
241,Female,300,46000,510,480,500,1490,3.57,24,19,18,7,EnglishandAnother,3.38,40,69,3.66
247,Female,0,39000,510,520,490,1520,4,23,23,20,2,EnglishandAnother,3.8,38,51,3.56
250,Female,0,52000,460,560,480,1500,3.95,18,26,22,9,English,3.87,45,45,2.76
254,Female,300,19000,540,630,560,1730,4.2,25,25,25,6,Another,3.8,45,61,3.33
257,Male,0,148000,640,660,680,1980,4,34,27,29,10,English,3.69,49,77.5,3.41
258,Male,0,145000,570,700,570,1840,3.75,25,25,23,7,English,3.75,47,47,3.44
261,Male,0,255000,650,570,640,1860,3.62,32,29,27,9,English,3.54,40,60,2.15
262,Female,300,88000,490,510,540,1540,3.8,23,17,19,10,EnglishandAnother,3.7,41,57,3.56
266,Female,300,12200,420,410,420,1250,3.65,20,16,20,1,Another,3.55,35,51,2.33
268,Male,0,35000,560,680,630,1870,3.84,32,26,27,8,English,3.57,47,66.5,0.72
274,Female,300,23000,470,390,370,1230,3.32,22,15,17,8,EnglishandAnother,3.12,45,57.5,3.8
279,Female,300,75000,470,470,450,1390,3.7,23,23,21,3,English,3.37,45,49,3.46
283,Female,300,35000,500,480,510,1490,3.63,21,20,23,4,EnglishandAnother,3.54,48,56,3.2
289,Female,300,85000,560,560,500,1620,3.3,24,25,24,5,EnglishandAnother,3.05,38,47,3.56
295,Unknown,300,69000,400,740,400,1540,3.72,14,33,19,6,Another,3.63,44,78,3
