@RELATION admission_stats

@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
Female,0,87000,700,610,710,2020,3.42,?,?,?,10,EnglishandAnother,3.14,45,83.75,0
Female,300,10000,490,510,510,1510,3.5,16,25,23,6,English,3.41,45,50,4
Female,0,120000,550,420,590,1560,3.57,?,?,?,8,English,3.42,47,47,0
Male,0,170000,620,630,570,1820,3.95,?,?,?,9,Another,3.59,42,47,3
Female,300,?,620,570,660,1850,3.75,?,?,?,10,English,3.46,42,67,0
Male,300,60000,550,640,570,1760,3.71,?,?,?,7,EnglishandAnother,3.42,32,22,4
Male,0,?,440,470,410,1320,3.5,14,22,17,6,Another,3.5,30,30,4
Male,300,22000,360,380,370,1110,3.52,?,?,?,9,EnglishandAnother,3.43,?,?,4
Male,0,120000,700,550,670,1920,3.72,32,29,30,8,English,3.45,52,72,2
Male,0,?,600,680,600,1880,3.44,?,?,?,10,English,3.12,25,61,4
Female,300,48000,590,470,570,1630,4,33,24,29,?,English,4,43,51,1
Female,0,155000,600,580,540,1720,3.96,32,26,24,10,English,3.75,35,47,3
Female,0,?,620,620,630,1870,3.75,31,25,25,?,English,3.52,39,74,0
Male,0,48116,610,640,530,1780,3.39,?,?,?,?,English,3.19,40,103,0
Female,0,?,?,?,?,?,3.24,22,24,23,?,English,3.24,40,45,2
Female,300,40000,670,640,670,1980,3.85,?,?,?,4,English,3.45,30,42,4
Female,0,?,660,640,690,1990,3.38,?,?,?,?,English,3,44,64,1
Male,300,8975,500,450,510,1460,3.57,?,?,?,6,English,3.42,37,51,3
Male,300,75000,540,610,570,1720,4.17,?,?,?,9,English,3.91,47,67,0
Male,300,33000,610,680,490,1780,3.81,?,?,?,6,English,3.63,48,52,0
Female,300,77600,800,800,650,2250,4.11,?,?,?,10,Another,3.8,81,141,0
Female,0,999000,630,740,630,2000,3.73,?,?,?,10,English,3.42,?,?,4
Female,300,200000,530,340,510,1380,3.82,?,?,?,7,English,3.6,40,35,4
