@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
11.0,Female,300.0,48000.0,590.0,470.0,570.0,1630.0,4.0,33.0,24.0,29.0,5.88602941176,English,4.0,43.0,51.0,1
17.0,Female,0.0,94541.6985294,660.0,640.0,690.0,1990.0,3.38,8.0,31.0,29.0,5.88602941176,English,3.0,44.0,64.0,1
26.0,Female,0.0,110000.0,480.0,460.0,490.0,1430.0,3.2,36.0,20.0,19.0,10.0,EnglishandAnother,3.12,35.0,52.5,1
29.0,Male,0.0,120000.0,700.0,660.0,560.0,1920.0,4.3,36.0,32.0,31.0,3.0,English,3.9,45.0,77.0,1
31.0,Male,300.0,24000.0,400.0,520.0,400.0,1320.0,3.65,36.0,14.0,22.0,2.0,Another,3.65,32.0,42.0,1
41.0,Female,0.0,200000.0,530.0,790.0,600.0,1920.0,3.66944852941,36.0,24.0,36.0,5.88602941176,Another,3.43898897059,35.0,57.0,1
42.0,Female,0.0,22800.0,0.0,0.0,0.0,1563.76838235,4.04,23.0,34.0,23.0,10.0,Another,4.0,44.0,76.5,1
43.0,Female,0.0,36000.0,650.0,590.0,630.0,1870.0,4.11,36.0,31.0,27.0,8.0,English,3.96,49.0,83.0,1
47.0,Female,0.0,55000.0,0.0,0.0,590.0,1563.76838235,4.05,18.0,25.0,21.0,8.0,English,3.95,45.0,45.0,1
48.0,Female,0.0,250000.0,750.0,630.0,650.0,2030.0,3.62,36.0,26.0,31.0,9.0,English,3.29,49.0,85.0,1
49.0,Male,0.0,99487.0,700.0,730.0,780.0,2210.0,3.07,36.0,32.0,33.0,10.0,Another,2.84,51.0,69.0,1
59.0,Female,0.0,170000.0,670.0,640.0,580.0,1890.0,4.18,36.0,31.0,29.0,8.0,Another,3.81,45.0,69.0,1
61.0,Male,0.0,230000.0,640.0,750.0,670.0,2060.0,4.0,36.0,29.0,35.0,10.0,English,3.72,54.0,78.0,1
63.0,Male,0.0,202000.0,640.0,610.0,710.0,1960.0,3.65,36.0,29.0,27.0,10.0,English,3.43,48.0,76.0,1
75.0,Male,0.0,224000.0,520.0,480.0,550.0,1550.0,3.44,16.0,24.0,20.0,5.88602941176,English,3.36,48.0,52.0,1
76.0,Female,0.0,180000.0,730.0,530.0,760.0,2020.0,3.81,36.0,33.0,24.0,7.0,English,3.54,45.0,83.0,1
82.0,Male,300.0,31636.0,410.0,550.0,360.0,1320.0,3.94,36.0,16.0,24.0,7.0,Another,3.83,27.0,44.0,1
91.0,Male,0.0,42000.0,600.0,610.0,550.0,1760.0,3.87,26.0,28.0,23.0,8.0,English,3.62,45.0,61.0,1
98.0,Female,0.0,130000.0,0.0,560.0,530.0,1563.76838235,3.55,22.0,22.0,23.0,5.88602941176,English,3.55,45.0,49.5,1
101.0,Female,0.0,94541.6985294,630.0,520.0,640.0,1790.0,3.79,8.0,29.0,22.0,9.0,English,3.7,45.0,57.0,1
104.0,Female,0.0,170000.0,590.0,560.0,520.0,1670.0,3.86,36.0,27.0,25.0,4.0,EnglishandAnother,3.59,45.0,45.0,1
106.0,Female,300.0,27300.0,450.0,600.0,410.0,1460.0,3.86,36.0,19.0,27.0,8.0,Another,3.86,35.0,48.0,1
107.0,Female,0.0,80000.0,560.0,600.0,580.0,1740.0,3.86,36.0,25.0,27.0,10.0,English,3.5,47.0,51.0,1
109.0,Male,0.0,90000.0,540.0,580.0,590.0,1710.0,3.95,36.0,24.0,25.0,8.0,English,3.75,45.0,45.0,1
111.0,Female,0.0,135000.0,680.0,620.0,570.0,1870.0,4.2,36.0,32.0,29.0,4.0,English,3.87,45.0,65.0,1
118.0,Female,0.0,100000.0,480.0,550.0,570.0,1600.0,3.85,36.0,20.0,24.0,9.0,English,3.45,45.0,57.0,1
121.0,Female,0.0,128000.0,530.0,590.0,690.0,1810.0,4.0,22.0,25.0,25.0,5.88602941176,English,3.68,51.0,51.0,1
122.0,Male,0.0,94541.6985294,570.0,610.0,500.0,1680.0,3.75,24.0,27.0,26.0,8.0,EnglishandAnother,3.35,42.0,63.0,1
124.0,Female,300.0,37500.0,640.0,510.0,630.0,1780.0,4.11,34.0,25.0,27.0,5.0,English,3.88,42.0,58.0,1
135.0,Female,0.0,71000.0,610.0,550.0,730.0,1890.0,3.78,36.0,27.0,24.0,10.0,EnglishandAnother,3.43,45.0,73.5,1
146.0,Male,0.0,70000.0,720.0,650.0,720.0,2090.0,3.76,36.0,33.0,31.0,10.0,English,3.76,50.0,54.0,1
152.0,Male,0.0,80000.0,630.0,620.0,560.0,1810.0,3.55,26.0,28.0,26.0,7.0,English,3.27,42.0,62.0,1
158.0,Female,300.0,106000.0,490.0,550.0,520.0,1560.0,3.55,36.0,20.0,24.0,3.0,English,3.11,45.0,45.0,1
159.0,Male,0.0,94541.6985294,800.0,650.0,800.0,2250.0,3.11,8.0,36.0,31.0,10.0,English,3.03,44.0,44.0,1
161.0,Female,0.0,130000.0,490.0,400.0,570.0,1460.0,4.0,36.0,20.0,14.0,9.0,English,3.63,42.0,72.0,1
169.0,Male,0.0,228000.0,630.0,700.0,690.0,2020.0,3.22,33.0,35.0,31.0,10.0,English,3.04,49.0,61.0,1
