@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
48.0,Female,0.0,0.263157894737,0.907407407407,0.686274509804,0.775862068966,0.851851851852,0.615763546798,1.0,0.583333333333,0.88,0.888888888889,English,0.584795321637,0.615384615385,0.5,1
91.0,Male,0.0,0.0442105263158,0.62962962963,0.647058823529,0.603448275862,0.651851851852,0.738916256158,0.62962962963,0.666666666667,0.56,0.777777777778,English,0.777777777778,0.538461538462,0.328571428571,1
124.0,Female,1.0,0.0394736842105,0.703703703704,0.450980392157,0.741379310345,0.666666666667,0.857142857143,0.925925925926,0.541666666667,0.72,0.444444444444,English,0.929824561404,0.480769230769,0.307142857143,1
152.0,Male,0.0,0.0842105263158,0.685185185185,0.666666666667,0.620689655172,0.688888888889,0.581280788177,0.62962962963,0.666666666667,0.68,0.666666666667,English,0.573099415205,0.480769230769,0.335714285714,1
169.0,Male,0.0,0.24,0.685185185185,0.823529411765,0.844827586207,0.844444444444,0.418719211823,0.888888888889,0.958333333333,0.88,1.0,English,0.438596491228,0.615384615385,0.328571428571,1
185.0,Male,0.0,0.152631578947,0.62962962963,0.529411764706,0.741379310345,0.666666666667,0.679802955665,0.740740740741,0.583333333333,0.64,0.777777777778,English,0.619883040936,0.538461538462,0.5,1
186.0,Female,0.0,0.421052631579,0.555555555556,0.607843137255,0.603448275862,0.607407407407,0.822660098522,0.62962962963,0.541666666667,0.56,0.555555555556,English,0.824561403509,0.576923076923,0.467857142857,1
191.0,Male,0.0,0.0210526315789,0.351851851852,0.333333333333,0.48275862069,0.37037037037,0.512315270936,0.555555555556,0.333333333333,0.48,0.111111111111,English,0.461988304094,0.576923076923,0.228571428571,1
247.0,Female,0.0,0.0410526315789,0.462962962963,0.470588235294,0.5,0.474074074074,0.802955665025,0.518518518519,0.458333333333,0.44,0.111111111111,EnglishandAnother,0.883040935673,0.403846153846,0.257142857143,1
254.0,Female,1.0,0.02,0.518518518519,0.686274509804,0.620689655172,0.62962962963,0.901477832512,0.592592592593,0.541666666667,0.64,0.555555555556,Another,0.883040935673,0.538461538462,0.328571428571,1
257.0,Male,0.0,0.155789473684,0.703703703704,0.745098039216,0.827586206897,0.814814814815,0.802955665025,0.925925925926,0.625,0.8,1.0,English,0.818713450292,0.615384615385,0.446428571429,1
258.0,Male,0.0,0.152631578947,0.574074074074,0.823529411765,0.637931034483,0.711111111111,0.679802955665,0.592592592593,0.541666666667,0.56,0.666666666667,English,0.853801169591,0.576923076923,0.228571428571,1
262.0,Female,1.0,0.0926315789474,0.425925925926,0.450980392157,0.586206896552,0.488888888889,0.704433497537,0.518518518519,0.208333333333,0.4,1.0,EnglishandAnother,0.824561403509,0.461538461538,0.3,1
279.0,Female,1.0,0.0789473684211,0.388888888889,0.372549019608,0.431034482759,0.377777777778,0.655172413793,0.518518518519,0.458333333333,0.48,0.222222222222,English,0.631578947368,0.538461538462,0.242857142857,1
289.0,Female,1.0,0.0894736842105,0.555555555556,0.549019607843,0.51724137931,0.548148148148,0.458128078818,0.555555555556,0.541666666667,0.6,0.444444444444,EnglishandAnother,0.444444444444,0.403846153846,0.228571428571,1
309.0,Male,0.0,0.126315789474,0.87037037037,0.901960784314,0.879310344828,0.962962962963,0.487684729064,0.777777777778,0.875,0.64,1.0,EnglishandAnother,0.485380116959,0.615384615385,0.360714285714,1
313.0,Female,1.0,0.0246810526316,0.481481481481,0.588235294118,0.568965517241,0.555555555556,0.724137931034,0.481481481481,0.625,0.56,0.777777777778,English,0.766081871345,0.596153846154,0.235714285714,1
331.0,Male,1.0,0.00421052631579,0.222222222222,0.372549019608,0.413793103448,0.303703703704,0.610837438424,0.444444444444,0.333333333333,0.48,0.0,Another,0.719298245614,0.538461538462,0.178571428571,1
338.0,Female,0.0,0.0526315789474,0.62962962963,0.725490196078,0.758620689655,0.748148148148,0.679802955665,0.62962962963,0.583333333333,0.72,1.0,English,0.777777777778,0.615384615385,0.364285714286,1
342.0,Male,0.0,0.0736842105263,0.462962962963,0.803921568627,0.706896551724,0.688888888889,0.669950738916,0.592592592593,0.791666666667,0.64,0.222222222222,EnglishandAnother,0.684210526316,0.480769230769,0.364285714286,1
367.0,Female,0.0,0.208421052632,0.759259259259,0.450980392157,0.862068965517,0.740740740741,0.975369458128,1.0,0.416666666667,0.68,0.111111111111,English,0.970760233918,0.576923076923,0.428571428571,1
369.0,Female,1.0,0.0315789473684,0.407407407407,0.549019607843,0.396551724138,0.437037037037,0.866995073892,0.62962962963,0.458333333333,0.56,0.111111111111,EnglishandAnother,0.947368421053,0.634615384615,0.303571428571,1
379.0,Female,1.0,0.0296842105263,0.314814814815,0.274509803922,0.48275862069,0.333333333333,0.911330049261,0.185185185185,0.25,0.28,0.0,English,0.918128654971,0.403846153846,0.185714285714,1
388.0,Female,1.0,0.0547368421053,0.259259259259,0.529411764706,0.51724137931,0.422222222222,0.581280788177,0.259259259259,0.458333333333,0.24,0.666666666667,EnglishandAnother,0.736842105263,0.326923076923,0.207142857143,1
392.0,Male,0.0,0.115789473684,0.759259259259,0.921568627451,0.913793103448,0.940740740741,0.738916256158,0.740740740741,0.875,0.64,0.777777777778,Another,0.730994152047,0.615384615385,0.385714285714,1
394.0,Female,1.0,0.0138947368421,0.166666666667,0.313725490196,0.379310344828,0.244444444444,0.729064039409,0.0,0.166666666667,0.16,0.0,English,0.853801169591,0.288461538462,0.121428571429,1
451.0,Male,0.0,0.155789473684,0.407407407407,0.705882352941,0.551724137931,0.562962962963,0.778325123153,0.518518518519,0.666666666667,0.64,1.0,English,0.923976608187,0.442307692308,0.242857142857,1
458.0,Male,1.0,0.0178947368421,0.444444444444,0.725490196078,0.741379310345,0.666666666667,0.975369458128,0.481481481481,0.625,0.64,0.222222222222,Another,0.970760233918,0.576923076923,0.342857142857,1
487.0,Female,1.0,0.0389473684211,0.351851851852,0.235294117647,0.379310344828,0.288888888889,0.655172413793,0.444444444444,0.166666666667,0.2,0.111111111111,Another,0.707602339181,0.442307692308,0.371428571429,1
499.0,Female,0.0,0.0526315789474,0.851851851852,0.56862745098,0.586206896552,0.703703703704,0.310344827586,0.814814814815,0.541666666667,0.64,1.0,EnglishandAnother,0.298245614035,0.538461538462,0.328571428571,1
536.0,Male,1.0,0.0157894736842,0.666666666667,0.78431372549,0.724137931034,0.77037037037,0.714285714286,0.518518518519,0.666666666667,0.52,0.444444444444,English,0.72514619883,0.769230769231,0.507142857143,1
541.0,Female,1.0,0.0329157894737,0.592592592593,0.549019607843,0.637931034483,0.614814814815,0.778325123153,0.703703703704,0.583333333333,0.72,0.666666666667,EnglishandAnother,0.812865497076,0.576923076923,0.371428571429,1
546.0,Male,1.0,0.0354410526316,0.611111111111,0.647058823529,0.689655172414,0.681481481481,0.576354679803,0.777777777778,0.583333333333,0.64,0.777777777778,EnglishandAnother,0.730994152047,0.480769230769,0.342857142857,1
611.0,Female,0.0,0.1,0.425925925926,0.705882352941,0.51724137931,0.555555555556,0.724137931034,0.37037037037,0.625,0.48,0.555555555556,English,0.72514619883,0.615384615385,0.492857142857,1
643.0,Male,0.0,0.6,0.666666666667,0.745098039216,0.568965517241,0.688888888889,0.709359605911,0.703703703704,0.708333333333,0.56,0.777777777778,EnglishandAnother,0.678362573099,0.634615384615,0.364285714286,1
651.0,Female,1.0,0.0842105263158,0.444444444444,0.294117647059,0.465517241379,0.385185185185,0.620689655172,0.333333333333,0.375,0.44,0.555555555556,EnglishandAnother,0.573099415205,0.480769230769,0.307142857143,1
654.0,Female,1.0,0.0578947368421,0.314814814815,0.450980392157,0.396551724138,0.362962962963,0.699507389163,0.444444444444,0.458333333333,0.52,0.555555555556,EnglishandAnother,0.824561403509,0.576923076923,0.285714285714,1
655.0,Female,1.0,0.0368421052632,0.333333333333,0.43137254902,0.465517241379,0.392592592593,0.369458128079,0.185185185185,0.375,0.52,0.555555555556,EnglishandAnother,0.438596491228,0.269230769231,0.114285714286,1
660.0,Male,0.0,0.305263157895,0.666666666667,0.666666666667,0.672413793103,0.703703703704,0.330049261084,0.62962962963,0.75,0.84,1.0,Another,0.280701754386,0.5,0.464285714286,1
672.0,Male,0.0,0.0976284210526,0.222222222222,0.666666666667,0.586206896552,0.488888888889,0.512315270936,0.296296296296,0.625,0.4,1.0,English,0.508771929825,0.538461538462,0.364285714286,1
785.0,Female,1.0,0.0898347368421,0.574074074074,0.627450980392,0.758620689655,0.688888888889,0.704433497537,0.444444444444,0.75,0.68,0.888888888889,English,0.649122807018,0.576923076923,0.4,1
796.0,Female,1.0,0.0242105263158,0.518518518519,0.588235294118,0.586206896552,0.577777777778,0.605911330049,0.481481481481,0.5,0.36,0.444444444444,EnglishandAnother,0.707602339181,0.538461538462,0.214285714286,1
807.0,Male,0.0,0.151406315789,0.722222222222,0.764705882353,0.793103448276,0.814814814815,0.862068965517,0.925925925926,0.833333333333,0.8,0.666666666667,English,0.877192982456,0.5,0.371428571429,1
813.0,Male,0.0,0.126315789474,0.777777777778,0.823529411765,0.706896551724,0.822222222222,0.679802955665,0.703703703704,0.666666666667,0.36,0.777777777778,English,0.795321637427,0.615384615385,0.3,1
827.0,Male,0.0,0.157894736842,0.703703703704,0.725490196078,0.844827586207,0.814814814815,0.635467980296,0.851851851852,0.708333333333,0.84,1.0,English,0.608187134503,0.557692307692,0.507142857143,1
850.0,Female,0.0,0.0847652631579,0.833333333333,0.705882352941,0.896551724138,0.881481481481,0.507389162562,0.814814814815,0.791666666667,1.0,1.0,English,0.438596491228,0.365384615385,0.435714285714,1
865.0,Female,0.0,0.173684210526,0.814814814815,0.529411764706,0.896551724138,0.807407407407,0.783251231527,0.814814814815,0.666666666667,0.68,0.777777777778,English,0.842105263158,0.346153846154,0.378571428571,1
892.0,Female,1.0,0.0578947368421,0.296296296296,0.0588235294118,0.448275862069,0.22962962963,0.665024630542,0.407407407407,0.125,0.16,0.0,EnglishandAnother,0.625730994152,0.538461538462,0.278571428571,1
900.0,Female,0.0,0.0778947368421,0.592592592593,0.529411764706,0.637931034483,0.607407407407,0.847290640394,0.555555555556,0.5,0.56,0.666666666667,English,0.941520467836,0.538461538462,0.364285714286,1
914.0,Male,1.0,0.0473684210526,0.444444444444,0.254901960784,0.48275862069,0.377777777778,0.630541871921,0.481481481481,0.208333333333,0.56,0.111111111111,Another,0.614035087719,0.442307692308,0.271428571429,1
925.0,Female,0.0,0.182606315789,0.481481481481,0.588235294118,0.775862068966,0.644444444444,0.630541871921,0.592592592593,0.541666666667,0.64,0.444444444444,EnglishandAnother,0.561403508772,0.442307692308,0.2,1
935.0,Female,0.0,0.126315789474,0.666666666667,0.705882352941,0.603448275862,0.688888888889,0.758620689655,0.37037037037,0.625,0.6,1.0,Another,0.947368421053,0.615384615385,0.385714285714,1
950.0,Female,1.0,0.0484210526316,0.666666666667,0.490196078431,0.534482758621,0.577777777778,0.802955665025,0.851851851852,0.541666666667,0.8,0.111111111111,English,0.736842105263,0.538461538462,0.328571428571,1
962.0,Female,1.0,0.103157894737,0.537037037037,0.450980392157,0.689655172414,0.577777777778,0.679802955665,0.740740740741,0.25,0.64,0.666666666667,English,0.853801169591,0.538461538462,0.214285714286,1
985.0,Female,0.0,0.0473684210526,0.592592592593,0.549019607843,0.586206896552,0.592592592593,0.783251231527,0.555555555556,0.5,0.56,1.0,English,0.830409356725,0.576923076923,0.571428571429,1
986.0,Male,0.0,0.0294736842105,0.574074074074,0.607843137255,0.465517241379,0.555555555556,0.5960591133,0.555555555556,0.583333333333,0.52,0.777777777778,English,0.654970760234,0.519230769231,0.385714285714,1
1001.0,Male,0.0,0.0526315789474,0.481481481481,0.470588235294,0.568965517241,0.511111111111,0.778325123153,0.62962962963,0.541666666667,0.56,0.222222222222,Another,0.824561403509,0.538461538462,0.271428571429,1
1009.0,Male,0.0,0.631578947368,0.814814814815,0.627450980392,0.706896551724,0.762962962963,0.541871921182,0.888888888889,0.625,0.6,0.888888888889,EnglishandAnother,0.637426900585,0.653846153846,0.457142857143,1
1011.0,Male,0.0,0.157894736842,0.611111111111,0.509803921569,0.672413793103,0.622222222222,0.738916256158,0.555555555556,0.5,0.64,0.888888888889,English,0.877192982456,0.596153846154,0.25,1
1026.0,Female,0.0,0.289473684211,0.759259259259,0.509803921569,0.689655172414,0.688888888889,0.576354679803,0.777777777778,0.541666666667,0.76,0.888888888889,English,0.53216374269,0.538461538462,0.414285714286,1
1041.0,Male,0.0,0.146526315789,1.0,0.823529411765,0.844827586207,0.97037037037,0.576354679803,0.777777777778,0.666666666667,0.64,1.0,EnglishandAnother,0.53216374269,0.615384615385,0.471428571429,1
1044.0,Male,0.0,0.133684210526,0.537037037037,0.56862745098,0.637931034483,0.6,0.714285714286,0.407407407407,0.333333333333,0.56,0.333333333333,English,0.72514619883,0.480769230769,0.342857142857,1
1060.0,Female,1.0,0.0894736842105,0.740740740741,0.647058823529,0.655172413793,0.718518518519,0.679802955665,0.62962962963,0.791666666667,0.8,1.0,EnglishandAnother,0.707602339181,0.538461538462,0.328571428571,1
1067.0,Male,1.0,0.0894736842105,0.388888888889,0.450980392157,0.51724137931,0.444444444444,0.620689655172,0.555555555556,0.5,0.32,0.777777777778,Another,0.625730994152,0.442307692308,0.214285714286,1
1090.0,Female,0.0,0.136842105263,0.703703703704,0.627450980392,0.620689655172,0.681481481481,0.866995073892,0.888888888889,0.541666666667,0.56,0.888888888889,English,0.865497076023,0.480769230769,0.485714285714,1
