@RELATION admission_stats

@ATTRIBUTE Subjnum REAL
@ATTRIBUTE gender {Male, Female, Unknown}
@ATTRIBUTE Firgen REAL
@ATTRIBUTE famincome REAL
@ATTRIBUTE SATCRDG REAL
@ATTRIBUTE SATMATH REAL
@ATTRIBUTE SATWRTG REAL
@ATTRIBUTE SATTotal REAL
@ATTRIBUTE HSGPA REAL
@ATTRIBUTE ACTRead REAL
@ATTRIBUTE ACTMath REAL
@ATTRIBUTE ACTEngWrit REAL
@ATTRIBUTE APIScore REAL
@ATTRIBUTE FirstLang {English, EnglishandAnother, Another}
@ATTRIBUTE HSGPAunweighted REAL
@ATTRIBUTE Firststyrunitsforgpa REAL
@ATTRIBUTE Firststyeartotcumunits REAL
@ATTRIBUTE Firstyrcumgpa {0, 1, 2, 3, 4}

@DATA
2.0,Female,300.0,10000.0,490.0,510.0,510.0,1510.0,3.5,16.0,25.0,23.0,6.0,English,3.41,45.0,50.0,4
6.0,Male,300.0,60000.0,550.0,640.0,570.0,1760.0,3.71,36.0,24.0,29.0,7.0,EnglishandAnother,3.42,32.0,22.0,4
7.0,Male,0.0,77579.7467994,440.0,470.0,410.0,1320.0,3.5,14.0,22.0,17.0,6.0,Another,3.5,30.0,30.0,4
8.0,Male,300.0,22000.0,360.0,380.0,370.0,1110.0,3.52,36.0,13.0,14.0,9.0,EnglishandAnother,3.43,32.6614509246,40.8090327169,4
10.0,Male,0.0,77579.7467994,600.0,680.0,600.0,1880.0,3.44,8.0,27.0,32.0,10.0,English,3.12,25.0,61.0,4
16.0,Female,300.0,40000.0,670.0,640.0,670.0,1980.0,3.85,36.0,31.0,29.0,4.0,English,3.45,30.0,42.0,4
22.0,Female,0.0,999000.0,630.0,740.0,630.0,2000.0,3.73,36.0,29.0,35.0,10.0,English,3.42,32.6614509246,40.8090327169,4
23.0,Female,300.0,200000.0,530.0,340.0,510.0,1380.0,3.82,36.0,24.0,11.0,7.0,English,3.6,40.0,35.0,4
24.0,Female,300.0,29005.0,430.0,470.0,530.0,1430.0,4.27,19.0,20.0,18.0,4.66571834993,English,4.0,32.6614509246,40.8090327169,4
25.0,Female,300.0,22000.0,630.0,500.0,560.0,1690.0,3.7,36.0,29.0,22.0,4.66571834993,English,3.7,32.6614509246,40.8090327169,4
33.0,Male,0.0,30000.0,410.0,400.0,390.0,1200.0,3.92,36.0,16.0,14.0,4.66571834993,EnglishandAnother,3.6,35.0,47.0,4
34.0,Female,300.0,27000.0,0.0,0.0,620.0,1351.35135135,3.53,29.0,27.0,30.0,10.0,EnglishandAnother,3.53,32.6614509246,40.8090327169,4
39.0,Male,0.0,400000.0,590.0,530.0,610.0,1730.0,3.95,36.0,27.0,24.0,8.0,English,3.85,42.0,42.0,4
46.0,Female,300.0,22000.0,520.0,620.0,560.0,1700.0,4.0,36.0,22.0,29.0,8.0,EnglishandAnother,3.95,49.0,44.0,4
50.0,Female,0.0,98000.0,370.0,520.0,440.0,1330.0,3.76,18.0,23.0,20.0,7.0,English,3.61,32.6614509246,40.8090327169,4
65.0,Male,300.0,52000.0,610.0,600.0,610.0,1820.0,3.9,36.0,27.0,27.0,8.0,EnglishandAnother,3.72,45.0,45.0,4
68.0,Male,0.0,72000.0,590.0,590.0,570.0,1750.0,3.86,36.0,27.0,27.0,10.0,English,3.66,42.0,65.0,4
79.0,Male,0.0,213000.0,560.0,650.0,700.0,1910.0,3.59,24.0,28.0,27.0,9.0,EnglishandAnother,3.22,42.0,78.0,4
83.0,Male,300.0,77579.7467994,500.0,630.0,490.0,1620.0,3.86,20.0,30.0,20.0,4.66571834993,English,3.66,35.0,49.0,4
89.0,Male,0.0,54000.0,610.0,600.0,710.0,1920.0,3.54,36.0,27.0,27.0,8.0,English,3.54,20.0,35.0,4
95.0,Female,0.0,240000.0,410.0,530.0,450.0,1390.0,3.7,36.0,16.0,24.0,4.0,Another,3.5,28.0,31.0,4
103.0,Female,300.0,75000.0,0.0,440.0,0.0,1351.35135135,3.66,16.0,34.0,19.0,10.0,Another,3.37,32.6614509246,40.8090327169,4
116.0,Female,300.0,12480.0,590.0,650.0,470.0,1710.0,3.75,36.0,27.0,31.0,3.0,Another,3.55,39.0,59.0,4
130.0,Male,0.0,77579.7467994,590.0,540.0,540.0,1670.0,3.95,25.0,24.0,24.0,4.66571834993,English,3.65,45.0,70.0,4
132.0,Male,0.0,180000.0,520.0,560.0,400.0,1480.0,3.59,36.0,22.0,25.0,9.0,English,3.5,37.0,47.0,4
143.0,Female,0.0,130000.0,440.0,540.0,510.0,1490.0,3.81,36.0,19.0,24.0,9.0,English,3.63,32.6614509246,40.8090327169,4
149.0,Male,0.0,125000.0,450.0,550.0,460.0,1460.0,3.75,21.0,23.0,21.0,8.0,English,3.55,45.0,45.0,4
154.0,Female,0.0,73000.0,610.0,510.0,750.0,1870.0,3.83,27.0,24.0,27.0,9.0,EnglishandAnother,3.56,32.6614509246,40.8090327169,4
163.0,Male,300.0,13200.0,410.0,480.0,370.0,1260.0,3.7,20.0,21.0,20.0,6.0,Another,3.62,28.0,38.0,4
166.0,Male,0.0,250000.0,0.0,680.0,530.0,1351.35135135,2.9,28.0,22.0,21.0,7.0,English,2.81,32.6614509246,40.8090327169,4
174.0,Female,300.0,48000.0,430.0,530.0,460.0,1420.0,3.95,36.0,16.0,24.0,4.0,Another,3.59,49.0,65.0,4
